Patch,Name
3.1,Albedo
4.7,Alhaitham
4.5,Arataki Itto
4.6,Baizhu
5.1,Chiori
5.3,Clorinde
4.2,Cyno
5.7,Emilie
3.8,Eula
3.6,Ganyu
5.0,Kaedehara Kazuha
4.3,Kamisato Ayaka
4.2,Kamisato Ayato
3.8,Klee
5.2,Lyney
5.6,Navia
4.8,Nilou
3.8,Sangonomiya Kokomi
3.5,Shenhe
5.4,Sigewinne
4.0,Tartaglia
4.6,Wanderer
4.4,Xiao
4.4,Yae Miko
4.3,Yoimiya
